Date,Session,Cycle,Exercise,Set,Weight,Reps,RPE,Notes
2025-04-30,Push,Cycle 1,Développé couché semi-incliné,1,20.0,12,7,
2025-04-30,Push,Cycle 1,Développé couché semi-incliné,2,20.0,12,7,
2025-04-30,Push,Cycle 1,Développé couché semi-incliné,3,20.0,12,7,
2025-04-30,Push,Cycle 1,Développé couché semi-incliné,4,20.0,10,7,
2025-04-30,Push,Cycle 1,Dips à la machine légère,1,0.0,12,7,
2025-04-30,Push,Cycle 1,Dips à la machine légère,2,0.0,12,7,
2025-04-30,Push,Cycle 1,Dips à la machine légère,3,0.0,12,7,
2025-04-30,Push,Cycle 1,Développé décliné à la barre,1,40.0,11,7,
2025-04-30,Push,Cycle 1,Développé décliné à la barre,2,45.0,11,7,
2025-04-30,Push,Cycle 1,Développé décliné à la barre,3,50.0,11,7,
2025-04-30,Push,Cycle 1,Écarté incliné poulie,1,10.0,10,8,
2025-04-30,Push,Cycle 1,Écarté incliné poulie,2,10.0,10,8,
2025-04-30,Push,Cycle 1,Écarté incliné poulie,3,10.0,10,8,
2025-04-30,Push,Cycle 1,Élévation latérale penché sur le côté à la poulie basse,1,5.0,12,8,
2025-04-30,Push,Cycle 1,Élévation latérale penché sur le côté à la poulie basse,2,5.0,12,8,
2025-04-30,Push,Cycle 1,Élévation latérale penché sur le côté à la poulie basse,3,5.0,12,8,
2025-04-30,Push,Cycle 1,Barre au front allongé à la poulie basse,1,15.0,12,8,
2025-04-30,Push,Cycle 1,Barre au front allongé à la poulie basse,2,15.0,12,8,
2025-04-30,Push,Cycle 1,Barre au front allongé à la poulie basse,3,15.0,12,8,
2025-05-01,Push,Cycle 2,Développé couché semi-incliné,1,20.0,10,7,
2025-05-01,Push,Cycle 2,Développé couché semi-incliné,2,20.0,10,7,
2025-05-01,Push,Cycle 2,Développé couché semi-incliné,3,20.0,10,7,
2025-05-01,Push,Cycle 2,Dips à la machine légère,1,0.0,10,7,
2025-05-01,Push,Cycle 2,Dips à la machine légère,2,0.0,10,7,
2025-05-01,Push,Cycle 2,Dips à la machine légère,3,0.0,10,7,
2025-05-01,Push,Cycle 2,Développé décliné à la barre,1,50.0,10,7,
2025-05-01,Push,Cycle 2,Développé décliné à la barre,2,50.0,10,7,
2025-05-01,Push,Cycle 2,Développé décliné à la barre,3,50.0,10,7,
2025-05-01,Push,Cycle 2,Écarté incliné poulie,1,10.0,10,7,
2025-05-01,Push,Cycle 2,Écarté incliné poulie,2,10.0,10,7,
2025-05-01,Push,Cycle 2,Écarté incliné poulie,3,10.0,10,7,
2025-05-01,Push,Cycle 2,Élévation latérale penché sur le côté à la poulie basse,1,5.0,10,7,
2025-05-01,Push,Cycle 2,Élévation latérale penché sur le côté à la poulie basse,2,5.0,10,7,
2025-05-01,Push,Cycle 2,Élévation latérale penché sur le côté à la poulie basse,3,5.0,10,7,
2025-05-01,Push,Cycle 2,Barre au front allongé à la poulie basse,1,15.0,10,7,
2025-05-01,Push,Cycle 2,Barre au front allongé à la poulie basse,2,15.0,10,7,
2025-05-01,Push,Cycle 2,Barre au front allongé à la poulie basse,3,15.0,10,7,
2025-05-03,Push,Cycle 3,Développé couché semi-incliné,1,20.0,6,8,
2025-05-03,Push,Cycle 3,Développé couché semi-incliné,2,20.0,6,8,
2025-05-03,Push,Cycle 3,Développé couché semi-incliné,3,20.0,6,8,
2025-05-03,Push,Cycle 3,Développé couché semi-incliné,4,20.0,6,8,
2025-05-03,Push,Cycle 3,Dips à la machine légère,1,0.0,6,8,
2025-05-03,Push,Cycle 3,Dips à la machine légère,2,0.0,6,8,
2025-05-03,Push,Cycle 3,Dips à la machine légère,3,0.0,6,8,
2025-05-03,Push,Cycle 3,Dips à la machine légère,4,0.0,6,8,
2025-05-03,Push,Cycle 3,Développé décliné à la barre,1,50.0,6,8,
2025-05-03,Push,Cycle 3,Développé décliné à la barre,2,50.0,6,8,
2025-05-03,Push,Cycle 3,Développé décliné à la barre,3,50.0,6,8,
2025-05-03,Push,Cycle 3,Développé décliné à la barre,4,50.0,6,8,
2025-05-03,Push,Cycle 3,Écarté incliné poulie,1,10.0,6,8,
2025-05-03,Push,Cycle 3,Écarté incliné poulie,2,10.0,6,8,
2025-05-03,Push,Cycle 3,Écarté incliné poulie,3,10.0,6,8,
2025-05-03,Push,Cycle 3,Écarté incliné poulie,4,10.0,6,8,
2025-05-03,Push,Cycle 3,Élévation latérale penché sur le côté à la poulie basse,1,5.0,6,8,
2025-05-03,Push,Cycle 3,Élévation latérale penché sur le côté à la poulie basse,2,5.0,6,8,
2025-05-03,Push,Cycle 3,Élévation latérale penché sur le côté à la poulie basse,3,5.0,6,8,
2025-05-03,Push,Cycle 3,Élévation latérale penché sur le côté à la poulie basse,4,5.0,6,8,
2025-05-03,Push,Cycle 3,Barre au front allongé à la poulie basse,1,15.0,6,8,
2025-05-03,Push,Cycle 3,Barre au front allongé à la poulie basse,2,15.0,6,8,
2025-05-03,Push,Cycle 3,Barre au front allongé à la poulie basse,3,15.0,6,8,
2025-05-03,Push,Cycle 3,Barre au front allongé à la poulie basse,4,15.0,6,8,
